speed,elapsedTime,elapsedDistance,lateralAcceleration,longitudinalAcceleration,gear,gearRatio,engineSpeed,torque,power,downForce,dragForce,tractionControl,throttlePosition,brakePosition,cornerRadius,sectorIndex,maximumCornerSpeed,loadSensitiveLatGrip,loadSensitiveLongGrip,yawangle,yawvelocity,yawacceleration,xposition,yposition,trackelevation,fz,
Speed (linear),Time,Length,Acceleration (linear),Acceleration (linear),Unitless,Unitless,Speed (angular),Torque,Power,Force,Force,Ratio,Ratio,Ratio,Length,Unitless,Speed (linear),Unitless,Unitless,Angle,Speed (angular),Acceleration (angular),Length,Length,Length,Force,
km/h,s,m,m/s^2,m/s^2,-,-,rpm,N.m,kW,N,N,%,%,%,m,-,km/h,-,-,deg,rpm,deg/s^2,m,m,m,N,
17.1709059629719,2.00177614724027,6,-2.41965361623194,1.78884753154082,1,4,799.074433150024,36.04,3.01578679778513,3.87088592090224,5.28809552035825,0,99.1636474898435,0,-9.40217258437936,1,37.9958131384166,1,1.2,-19.5794028841452,-4.79262466157128,-0.856752174840757,4.43773728442002,3.99486480659044,0,2946.8708859209,
17.5083118325,2.05419038804625,6.25,-2.68649776791593,1.78813717809297,1,4,814.776132554589,36.04,3.0750465811077,4.02450525539494,5.49795799917341,0,99.130456143305,0,-8.80434516875872,1,36.760487372983,1,1.2,-21.1470618194958,-5.36429643772384,-1.14215769391989,4.65576522139215,4.11717432967613,0,2947.0245052554,
17.8390841431532,2.10559454446123,6.5,-2.99213506075491,1.78742739520795,1,4,830.169129127219,36.04,3.13314128908013,4.17800601358647,5.70765848850611,0,99.0972904166347,0,-8.20651775313807,1,35.4832442004368,1,1.2,-22.8239261415595,-5.62612438155728,-0.533391851436627,4.87705650156265,4.23347280764763,0,2947.17800601359,
18.1635944595221,2.15604556497202,6.75,-3.34571299167726,1.78671816019296,1,4,845.270714195762,36.04,3.19013618090242,4.33139256175603,5.91720295321861,0,99.0641493664443,0,-7.60869033751743,1,34.1593806236311,1,1.2,-24.7356445170128,-6.08104681502151,-0.94426961731374,5.10165479587082,4.34324522455734,0,2947.33139256176,
18.4821806644832,2.2055952288343,7,-3.35686299886671,1.78600945287404,1,4,860.096611657881,36.04,3.24609060013633,4.48466879941136,6.12659672050732,0,99.0310321501972,0,-7.85177423653431,1,34.7036416313574,1,1.2,-26.5423877163926,-6.23032840372126,-0.315496215190528,5.32979067027182,4.44546431708488,0,2947.48466879941,
18.7951510964882,2.25429078139588,7.25,-3.53830952596268,1.7853012552339,1,4,874.661170516128,36.04,3.30105870135202,4.63783822404921,6.33584456837323,0,98.9979380122162,0,-7.70354847306862,1,34.3727702403112,1,1.2,-28.383543930746,-6.43434677067802,-0.438741369668331,5.56103555252746,4.54043967896362,0,2947.63783822405,
19.1027880543356,2.30217547226001,7.5,-3.72679491152523,1.78459355111271,1,4,888.977527977871,36.04,3.3550900656835,4.7909039850404,6.54495079923553,0,98.964866272041,0,-7.55532270960293,1,34.0387508691374,1,1.2,-30.2604491171972,-6.66146232843996,-0.496682450350965,5.7952120807427,4.62793625742969,0,2947.79090398504,
19.4053507839051,2.34928901387708,7.75,-3.92274398451086,1.7838863259591,1,4,903.057748447568,36.04,3.40823022539931,4.94386892876312,6.75391930158897,0,98.9318163146765,0,-7.40709694613723,1,33.7014898970605,1,1.2,-32.1745185407637,-6.9014856397307,-0.533502290820549,6.03212825174749,4.70771592292912,0,2947.94386892876,
19.7030780375987,2.39566797450615,8,-4.12661605929009,1.78317956662167,1,4,916.912942634269,36.04,3.46052111342621,5.09673563663847,6.96275360196512,0,98.8987875823751,0,-7.25887118267154,1,33.3608889904821,1,1.2,-34.1272531760665,-7.15140171542169,-0.564289278842188,6.27157645382105,4.77953779196467,0,2948.09673563664,
19.9961902790049,2.44134611668691,8.25,-4.3389085566416,1.78247326117323,1,4,930.553370149046,36.04,3.51200145056207,5.24950645736883,7.17145690897381,0,98.8657795676706,0,-7.11064541920585,1,33.0168447641989,1,1.2,-36.1202467680044,-7.41061457858729,-0.594260323617144,6.51333243329561,4.84315861016686,0,2948.24950645737,
20.2848915911768,2.48635469019228,8.5,-4.56016108325529,1.78176739876182,1,4,943.988528309654,36.04,3.56270708063359,5.40218353440925,7.3800321508323,0,98.8327918074433,0,-6.96241965574016,1,32.6692484106577,1,1.2,-38.1551936344622,-7.67936557769588,-0.625292841406234,6.75715419047173,4.8983332041821,0,2948.40218353441,
